company,close_price,date,returns,volatility,finbert_label,Apple_topic_1,Apple_topic_2,Apple_topic_3,Apple_topic_4,Apple_topic_5,Tesla_topic_1,Tesla_topic_2,Tesla_topic_3,Tesla_topic_4,Tesla_topic_5,Nvidia_topic_1,Nvidia_topic_2,Nvidia_topic_3,Nvidia_topic_4,Nvidia_topic_5,Amazon_topic_1,Amazon_topic_2,Amazon_topic_3,Amazon_topic_4,Amazon_topic_5
Apple,239.3268585205078,12/02/2024,,,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple,242.3834991455078,12/03/2024,0.012771824457546543,,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple,242.74310302734375,12/04/2024,0.0014836153579087519,0.007981969201805574,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple,242.7730712890625,12/05/2024,0.0001234566969978701,0.006943280963949769,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple,242.5732879638672,12/06/2024,-0.0008229220981327279,0.0063264509866593184,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple,246.47900390625,12/09/2024,0.016101179050533432,0.007895436551103325,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple,247.4978790283203,12/10/2024,0.004133719732402952,0.007099926909174698,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple,246.2192840576172,12/11/2024,-0.005166084556857187,0.00765923208916323,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple,247.68768310546875,12/12/2024,0.005963785710253022,0.00675140152855632,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Apple,247.85748291015625,12/13/2024,0.0006855399612875068,0.006790202327195497,neutral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
